souche,replicat,condition,0h,6h,12h,24h
1218,1,YPD,0,1314,1352,2721
1218,1,G418,0,286,179,119
1218,2,YPD,0,5897,1384,3180
1218,2,G418,0,2451,202,154
1218,3,YPD,0,11640,1980,2295
1218,3,G418,0,2283,226,140
1068,1,YPD,0,798,381,490
1068,1,G418,0,144,47,11
1068,2,YPD,0,3672,753,4440
1068,2,G418,0,936,63,100
1068,3,YPD,0,3624,558,3480
1068,3,G418,0,825,53,125
1069,1,YPD,0,6440,3108,5364
1069,1,G418,0,394,20,9
1069,2,YPD,0,3734,4050,4170
1069,2,G418,0,2190,231,119
1069,3,YPD,0,12240,2310,4587
1069,3,G418,0,327,21,7
1070,1,YPD,0,12324,4380,4678
1070,1,G418,0,6034,570,327
1070,2,YPD,0,13056,2123,5520
1070,2,G418,0,7314,662,490
1070,3,YPD,0,10320,3009,4824
1070,3,G418,0,5328,544,350
